Profile,Loan_Type,Credit_Score,Repayment_History,Business_Age,Revenue_Turnover,Profitability,Financial_Documents,GST_Compliance,Property_Security,OD_Requirement,Digital_Transactions,Eway_Bill_Volume,Tax_Status,Corporate_Authorization,Annual_Credits,Monthly_Average_Balance,Account_Utilization,Account_Age,FD_Security,Renewal_History,Debt_Burden,Credit_Engine_Score,Business_Engine_Score,Loan_Engine_Score,Risk_Penalty,Final_Score,Loan_Status,Promoter_Contribution,Project_Report,Project_Profitability,Break_Even,Supplier_Verification,Projected_Cashflow,DSCR,Debt_Equity,Asset_Life,Asset_Coverage,Regulatory_Approval,Previous_Term_Loan_History,Collateral_Value,Plant_Machinery_Investment,MSME_Category,Address_Verification,Industry_Risk,Supplier_History,Entity_KYC,Promoter_Age,Business_Registration,Udyam_Registration,CGTMSE_Eligibility,ITR_Filing,GST_Turnover,Banking_Transactions,Current_Ratio,Raw_Material_Holding,Inventory_Cycle,Debtor_Collection,Creditor_Payment,Working_Capital_Gap,Customer_Concentration,Current_Account_Vintage,Cheque_Bounce_History,Collateral,Promoter_Experience,Commercial_CIBIL,Existing_WC_Loans
1,40,1,0,1,0,0,1,1,3.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,38.33,16.67,25.0,-70,27.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,2,2,3,2,2,3,3,,,,,,,,,,,,,,66.67,83.33,71.67,0,73.42,1,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,40,1,0,2,0,1,2,2,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,25.0,41.67,36.67,-35,34.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,3,3,2,2,2,3,2,,,,,,,,,,,,,,100.0,71.67,73.33,0,82.17,2,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,
1,40,3,3,0,1,1,1,1,1.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,100.0,26.67,70.0,-20,67.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,0,0,0,1,0,1,1,,,,,,,,,,,,,,0.0,18.33,11.67,-115,9.58,0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,40,0,0,2,1,1,2,2,3.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,50.0,13.33,-95,19.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,1,1,3,2,2,2,2,,,,,,,,,,,,,,33.33,73.33,61.67,0,55.25,1,,,,,,,,,,,,,,1.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,
1,30,1,1,3,2,1,3,3,,,,,,,,,,,,,,20.0,75.0,65.0,-15,52.25,0,,,,,,,,,,,,,,0.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,0.0,,,,,,,,,,,,,
2,30,0,0,0,1,0,1,1,,,,,,,,,,,,,,0.0,18.33,23.33,-110,13.66,0,,,,,,,,,,,,,,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
